,Neutral,Avoid,Paved,Mean,Mean Change
50,18.0,18.0,23.0,19.666666666666668,
55,17.0,17.0,22.0,18.666666666666668,-1.0
60,17.0,17.0,23.0,19.0,0.33333333333333215
65,14.0,14.0,22.0,16.666666666666668,-2.333333333333332
70,14.0,14.0,23.0,17.0,0.33333333333333215
75,12.0,12.0,21.0,15.0,-2.0
80,12.0,12.0,22.0,15.333333333333334,0.3333333333333339
85,12.0,12.0,22.0,15.333333333333334,0.0
90,11.0,11.0,19.0,13.666666666666666,-1.6666666666666679
95,10.0,10.0,18.0,12.666666666666666,-1.0
100,10.0,10.0,18.0,12.666666666666666,0.0
105,9.0,9.0,17.0,11.666666666666666,-1.0
110,9.0,9.0,16.0,11.333333333333334,-0.33333333333333215
115,9.0,9.0,15.0,11.0,-0.3333333333333339
120,9.0,9.0,16.0,11.333333333333334,0.3333333333333339
125,9.0,9.0,16.0,11.333333333333334,0.0
130,9.0,9.0,16.0,11.333333333333334,0.0
135,9.0,9.0,15.0,11.0,-0.3333333333333339
140,9.0,9.0,15.0,11.0,0.0
145,9.0,9.0,15.0,11.0,0.0
150,9.0,9.0,15.0,11.0,0.0
155,7.0,7.0,15.0,9.666666666666666,-1.333333333333334
160,7.0,7.0,15.0,9.666666666666666,0.0
165,8.0,8.0,15.0,10.333333333333334,0.6666666666666679
170,8.0,8.0,15.0,10.333333333333334,0.0
175,8.0,8.0,14.0,10.0,-0.3333333333333339
180,8.0,8.0,14.0,10.0,0.0
185,9.0,9.0,15.0,11.0,1.0
190,9.0,9.0,15.0,11.0,0.0
195,8.0,8.0,13.0,9.666666666666666,-1.333333333333334
200,8.0,8.0,12.0,9.333333333333334,-0.33333333333333215
